epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1177.16,1.25528,1.17996,1.33084,0.47563,0.40614,0.41285,0.20077,1.7297,1.59087,1.73179,0.000576755,0.000576755,0.000576755
43,1204.24,1.24606,1.1239,1.30548,0.5187,0.4146,0.422,0.20295,1.69195,1.54541,1.70304,0.000574554,0.000574554,0.000574554
44,1231.63,1.21513,1.12763,1.29109,0.51888,0.39317,0.40617,0.19312,1.72536,1.6535,1.72468,0.000572353,0.000572353,0.000572353
45,1258.97,1.24431,1.16453,1.33784,0.47415,0.43934,0.4164,0.19867,1.69983,1.55071,1.71372,0.000570152,0.000570152,0.000570152
46,1286.28,1.23268,1.11128,1.31547,0.52587,0.42955,0.42691,0.2061,1.70696,1.57473,1.72157,0.00056795,0.00056795,0.00056795
47,1313.64,1.24621,1.13842,1.31928,0.59017,0.41291,0.42577,0.20243,1.70951,1.56569,1.72584,0.000565749,0.000565749,0.000565749
48,1341.34,1.25266,1.14785,1.32957,0.50909,0.43213,0.42381,0.20548,1.68706,1.52826,1.7173,0.000563548,0.000563548,0.000563548
49,1368.88,1.22625,1.11563,1.3107,0.50062,0.43092,0.41658,0.20145,1.70171,1.57183,1.7176,0.000561347,0.000561347,0.000561347
50,1396.19,1.22608,1.10867,1.30273,0.48814,0.41278,0.41156,0.19721,1.72922,1.59063,1.7288,0.000559146,0.000559146,0.000559146
51,1423.75,1.23465,1.04708,1.29641,0.51692,0.44598,0.43579,0.2083,1.70626,1.5162,1.70998,0.000556945,0.000556945,0.000556945
52,1450.76,1.22995,1.08893,1.30652,0.52277,0.43027,0.42805,0.2054,1.7063,1.54433,1.71524,0.000554744,0.000554744,0.000554744
53,1478.1,1.23224,1.10617,1.31864,0.52952,0.42415,0.42795,0.20713,1.70378,1.5934,1.72505,0.000552543,0.000552543,0.000552543
54,1505.43,1.21064,1.07264,1.26444,0.52699,0.44122,0.43464,0.20667,1.72619,1.52789,1.74873,0.000550342,0.000550342,0.000550342
55,1532.9,1.16276,1.04108,1.28943,0.52646,0.43834,0.42735,0.20336,1.70817,1.53228,1.74134,0.000548141,0.000548141,0.000548141
56,1560.19,1.21572,1.06402,1.30067,0.53003,0.43137,0.42886,0.20542,1.7067,1.51883,1.72891,0.00054594,0.00054594,0.00054594
57,1587.54,1.19954,1.04055,1.25827,0.50309,0.43602,0.4266,0.20824,1.70834,1.52104,1.71247,0.000543738,0.000543738,0.000543738
58,1614.49,1.17264,1.0084,1.25219,0.54738,0.4435,0.43596,0.20412,1.76256,1.55834,1.75962,0.000541537,0.000541537,0.000541537
59,1641.46,1.18635,1.03514,1.28214,0.50694,0.4553,0.43803,0.21014,1.72024,1.51539,1.73922,0.000539336,0.000539336,0.000539336
60,1669.03,1.20885,1.0654,1.27474,0.49861,0.45389,0.44077,0.21034,1.6907,1.52032,1.70025,0.000537135,0.000537135,0.000537135
61,1696.32,1.21918,1.04102,1.30775,0.52181,0.43973,0.43871,0.21414,1.70323,1.50339,1.7057,0.000534934,0.000534934,0.000534934
